,support,itemsets
1009,0.0005053057099545225,77 30812 To Polo Park
247,0.0005053057099545225,15 10471 To Church
1115,0.0005053057099545225,BLUE 60122 To Downtown
110,0.0005053057099545225,11 10577 Via Westwood
250,0.0005053057099545225,15 10473 To Inkster
109,0.0005053057099545225,11 10577 Via Glenway
1101,0.0005053057099545225,BLUE 60067 To Downtown
1003,0.0005053057099545225,77 20609 To Polo Park
1002,0.0005053057099545225,77 20149 To Kildonan Place
105,0.0005053057099545225,11 10576 To Polo Park
1119,0.0005053057099545225,BLUE 60675 to St. Norbert
100,0.0005053057099545225,11 10574 Via Rothesay
262,0.0005053057099545225,15 10534 Airport Via Flight Rd.
263,0.0005053057099545225,15 10534 Airport Via Wellington
99,0.0005053057099545225,11 10574 Via Glenway
1124,0.0005053057099545225,BLUE 61203 To Downtown
950,0.0005053057099545225,75 60103 To University of Manitoba
323,0.0005053057099545225,18 30073 To Corydon & Edgeland
16,0.0005053057099545225,11 10545 Via Westwood
393,0.0005053057099545225,21 10549 To Grace Hospital
372,0.0005053057099545225,19 10735 Via Notre Dame
376,0.0005053057099545225,19 10771 Via Notre Dame
163,0.0005053057099545225,11 40435 To Polo Park
336,0.0005053057099545225,18 30091 To Corydon & Edgeland
919,0.0005053057099545225,74 60673 Polo Park
1081,0.0005053057099545225,BLUE 11028 University of Manitoba
170,0.0005053057099545225,14 10297 To Ellice
388,0.0005053057099545225,21 10548 To Crestview
390,0.0005053057099545225,21 10548 To Westwood
1047,0.0005053057099545225,90 40281 To North Transcona
392,0.0005053057099545225,21 10549 To Downtown
1049,0.0005053057099545225,90 40342 To Henderson & Whellams
923,0.0005053057099545225,74 61116 Polo Park
395,0.0005053057099545225,21 10549 To Westwood
185,0.0005053057099545225,14 10512 Via Dakota
202,0.0005053057099545225,14 10535 To Ellice
8,0.0005053057099545225,11 10542 Via Rothesay
6,0.0005053057099545225,11 10542 To Polo Park
1067,0.0005053057099545225,BLUE 10618 to St. Norbert
907,0.0005053057099545225,672 62000 University of Manitoba
404,0.0005053057099545225,21 20206 To Downtown
903,0.0005053057099545225,672 61251 University of Manitoba
4,0.0005053057099545225,11 10541 To Polo Park
408,0.0005053057099545225,21 20285 To Downtown
158,0.0005053057099545225,11 40370 To Polo Park
1104,0.0005053057099545225,BLUE 60095 To Downtown
154,0.0005053057099545225,11 30099 To Polo Park
146,0.0005053057099545225,11 10715 To Polo Park
1154,0.0005053057099545225,BLUE 61213 To Downtown
337,0.0005053057099545225,18 30091 To Garden City Centre
338,0.0005053057099545225,18 30092 To Garden City Centre
340,0.0005053057099545225,18 30094 To Garden City Centre
1098,0.0005053057099545225,BLUE 11034 University of Manitoba
344,0.0005053057099545225,18 30413 To Corydon & Edgeland
348,0.0005053057099545225,19 10159 Via Autumnwood
